,iter_number,best_ff,avg_difficulty,memory_count,attention_count,recognition_count,action_count,speech_count
0,0.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
1,1.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
2,2.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
3,3.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
4,4.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
5,5.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
6,6.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
7,7.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
8,8.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
9,9.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
10,10.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
11,11.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
12,12.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
13,13.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
14,14.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
15,15.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
16,16.0,8.254223145780053,1.95,4.0,9.0,3.0,2.0,2.0
17,17.0,7.318801150895142,1.7,2.0,10.0,2.0,4.0,2.0
18,18.0,7.318801150895142,1.7,2.0,10.0,2.0,4.0,2.0
19,19.0,5.418801150895142,1.8,1.0,11.0,2.0,4.0,2.0
