,iter_number,best_ff,avg_difficulty,memory_count,attention_count,recognition_count,action_count,speech_count
0,0.0,5.797499999999999,1.7,1.0,5.0,5.0,4.0,2.0
1,1.0,5.797499999999999,1.7,1.0,5.0,5.0,4.0,2.0
2,2.0,5.797499999999999,1.7,1.0,5.0,5.0,4.0,2.0
3,3.0,5.797499999999999,1.7,1.0,5.0,5.0,4.0,2.0
4,4.0,5.797499999999999,1.7,1.0,5.0,5.0,4.0,2.0
5,5.0,5.797499999999999,1.7,1.0,5.0,5.0,4.0,2.0
6,6.0,5.797499999999999,1.7,1.0,5.0,5.0,4.0,2.0
7,7.0,5.797499999999999,1.7,1.0,5.0,5.0,4.0,2.0
8,8.0,5.797499999999999,1.7,1.0,5.0,5.0,4.0,2.0
9,9.0,5.797499999999999,1.7,1.0,5.0,5.0,4.0,2.0
10,10.0,5.797499999999999,1.7,1.0,5.0,5.0,4.0,2.0
11,11.0,5.797499999999999,1.7,1.0,5.0,5.0,4.0,2.0
12,12.0,4.359999999999999,1.95,1.0,5.0,6.0,3.0,3.0
13,13.0,4.359999999999999,1.95,1.0,5.0,6.0,3.0,3.0
14,14.0,4.359999999999999,1.95,1.0,5.0,6.0,3.0,3.0
15,15.0,4.359999999999999,1.95,1.0,5.0,6.0,3.0,3.0
16,16.0,4.359999999999999,1.95,1.0,5.0,6.0,3.0,3.0
17,17.0,4.359999999999999,1.95,1.0,5.0,6.0,3.0,3.0
18,18.0,4.359999999999999,1.95,1.0,5.0,6.0,3.0,3.0
19,19.0,4.359999999999999,1.95,1.0,5.0,6.0,3.0,3.0
