,iter_number,best_ff,avg_difficulty,memory_count,attention_count,recognition_count,action_count,speech_count
0,0.0,5.21,2.05,1.0,7.0,4.0,4.0,4.0
1,1.0,5.21,2.05,1.0,7.0,4.0,4.0,4.0
2,2.0,5.21,2.05,1.0,7.0,4.0,4.0,4.0
3,3.0,5.21,2.05,1.0,7.0,4.0,4.0,4.0
4,4.0,5.21,2.05,1.0,7.0,4.0,4.0,4.0
5,5.0,5.21,2.05,1.0,7.0,4.0,4.0,4.0
6,6.0,5.21,2.05,1.0,7.0,4.0,4.0,4.0
7,7.0,5.21,2.05,1.0,7.0,4.0,4.0,4.0
8,8.0,4.835,2.3,1.0,8.0,5.0,3.0,3.0
9,9.0,4.835,2.3,1.0,8.0,5.0,3.0,3.0
10,10.0,4.835,2.3,1.0,8.0,5.0,3.0,3.0
11,11.0,4.835,2.3,1.0,8.0,5.0,3.0,3.0
12,12.0,4.61,2.2,1.0,6.0,5.0,4.0,4.0
13,13.0,3.9225000000000003,2.2,1.0,6.0,6.0,4.0,3.0
14,14.0,3.9225000000000003,2.2,1.0,6.0,6.0,4.0,3.0
15,15.0,3.9225000000000003,2.2,1.0,6.0,6.0,4.0,3.0
16,16.0,3.9225000000000003,2.2,1.0,6.0,6.0,4.0,3.0
17,17.0,3.7725,2.05,1.0,6.0,6.0,3.0,4.0
18,18.0,3.7725,2.05,1.0,6.0,6.0,3.0,4.0
19,19.0,3.7725,2.05,1.0,6.0,6.0,3.0,4.0
