,iter_number,best_ff,avg_difficulty,memory_count,attention_count,recognition_count,action_count,speech_count
0,0.0,3.834880708169818,1.75,3.0,5.0,4.0,5.0,3.0
1,1.0,3.834880708169818,1.75,3.0,5.0,4.0,5.0,3.0
2,2.0,3.834880708169818,1.75,3.0,5.0,4.0,5.0,3.0
3,3.0,3.834880708169818,1.75,3.0,5.0,4.0,5.0,3.0
4,4.0,3.834880708169818,1.75,3.0,5.0,4.0,5.0,3.0
5,5.0,3.834880708169818,1.75,3.0,5.0,4.0,5.0,3.0
6,6.0,3.800132224402426,1.95,3.0,6.0,3.0,4.0,4.0
7,7.0,3.800132224402426,1.95,3.0,6.0,3.0,4.0,4.0
8,8.0,3.800132224402426,1.95,3.0,6.0,3.0,4.0,4.0
9,9.0,3.800132224402426,1.95,3.0,6.0,3.0,4.0,4.0
10,10.0,3.421038396361041,1.75,3.0,6.0,5.0,3.0,3.0
11,11.0,3.421038396361041,1.75,3.0,6.0,5.0,3.0,3.0
12,12.0,3.421038396361041,1.75,3.0,6.0,5.0,3.0,3.0
13,13.0,3.421038396361041,1.75,3.0,6.0,5.0,3.0,3.0
14,14.0,3.421038396361041,1.75,3.0,6.0,5.0,3.0,3.0
15,15.0,3.421038396361041,1.75,3.0,6.0,5.0,3.0,3.0
16,16.0,3.421038396361041,1.75,3.0,6.0,5.0,3.0,3.0
17,17.0,3.421038396361041,1.75,3.0,6.0,5.0,3.0,3.0
18,18.0,3.421038396361041,1.75,3.0,6.0,5.0,3.0,3.0
19,19.0,3.421038396361041,1.75,3.0,6.0,5.0,3.0,3.0
