,iter_number,best_ff,avg_difficulty,memory_count,attention_count,recognition_count,action_count,speech_count
0,0.0,13.372125959079286,2.05,3.0,6.0,4.0,4.0,3.0
1,1.0,13.222125959079285,1.9,3.0,6.0,6.0,3.0,2.0
2,2.0,12.756652813299233,1.9,4.0,7.0,5.0,3.0,1.0
3,3.0,12.756652813299233,1.9,4.0,7.0,5.0,3.0,1.0
4,4.0,9.568801150895142,1.95,1.0,8.0,3.0,4.0,4.0
5,5.0,9.568801150895142,1.95,1.0,8.0,3.0,4.0,4.0
6,6.0,9.568801150895142,1.95,1.0,8.0,3.0,4.0,4.0
7,7.0,9.372125959079284,2.05,1.0,8.0,6.0,3.0,2.0
8,8.0,9.372125959079284,2.05,1.0,8.0,6.0,3.0,2.0
9,9.0,9.372125959079284,2.05,1.0,8.0,6.0,3.0,2.0
10,10.0,9.372125959079284,2.05,1.0,8.0,6.0,3.0,2.0
11,11.0,9.372125959079284,2.05,1.0,8.0,6.0,3.0,2.0
12,12.0,9.372125959079284,2.05,1.0,8.0,6.0,3.0,2.0
13,13.0,9.372125959079284,2.05,1.0,8.0,6.0,3.0,2.0
14,14.0,9.372125959079284,2.05,1.0,8.0,6.0,3.0,2.0
15,15.0,9.372125959079284,2.05,1.0,8.0,6.0,3.0,2.0
16,16.0,8.104223145780052,1.8,3.0,10.0,3.0,1.0,3.0
17,17.0,8.104223145780052,1.8,3.0,10.0,3.0,1.0,3.0
18,18.0,8.104223145780052,1.8,3.0,10.0,3.0,1.0,3.0
19,19.0,6.9721259590792855,1.65,2.0,9.0,4.0,3.0,2.0
