,iter_number,best_ff,avg_difficulty,memory_count,attention_count,recognition_count,action_count,speech_count
0,0.0,6.9975,1.9,2.0,4.0,5.0,3.0,4.0
1,1.0,6.9975,1.9,2.0,4.0,5.0,3.0,4.0
2,2.0,6.9475,1.85,2.0,5.0,4.0,4.0,3.0
3,3.0,6.9475,1.85,2.0,5.0,4.0,4.0,3.0
4,4.0,6.9475,1.85,2.0,5.0,4.0,4.0,3.0
5,5.0,6.8475,1.75,2.0,5.0,4.0,3.0,4.0
6,6.0,6.8475,1.75,2.0,5.0,4.0,3.0,4.0
7,7.0,6.8475,1.75,2.0,5.0,4.0,3.0,4.0
8,8.0,6.8475,1.75,2.0,5.0,4.0,3.0,4.0
9,9.0,6.8475,1.75,2.0,5.0,4.0,3.0,4.0
10,10.0,6.8475,1.75,2.0,5.0,4.0,3.0,4.0
11,11.0,6.2975,2.2,1.0,5.0,5.0,2.0,4.0
12,12.0,5.635,1.85,1.0,6.0,5.0,2.0,2.0
13,13.0,5.635,1.85,1.0,6.0,5.0,2.0,2.0
14,14.0,5.635,1.85,1.0,6.0,5.0,2.0,2.0
15,15.0,5.635,1.85,1.0,6.0,5.0,2.0,2.0
16,16.0,5.51,2.1,2.0,6.0,6.0,3.0,2.0
17,17.0,5.51,2.1,2.0,6.0,6.0,3.0,2.0
18,18.0,5.51,2.1,2.0,6.0,6.0,3.0,2.0
19,19.0,5.109999999999999,1.7,1.0,6.0,6.0,2.0,2.0
